MRVPXBPZCICU001,Hu0/0/2/3,FC_BLA00N55CICU001 0/0/2/3:MRVPXBPZCINC301 0/0/0/12>>MRVPXBPZCINC303 SLOT3 EDFA  LINE RX TX>>MRVI061ORI007-036 20-35>>ORID635ORI F31/31 >>BLAI057ORI 27- 28>>BLAPXBLACINC303 SLOT2 EDFA  LINE RX TX>>BLAI057ORI F21- F22>>BLAPXBLACINC301 0/0/0/12,FIX-AN- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCICU001,Hu0/1/2/3,FC_BLA00N55CICU001 0/1/2/3:MRVPXBPZCINC302 0/0/0/12>>BPZD611BPZ F74- F75>>BLAD634BLA F64 -F65>>BLAPXBLACINC302 0/0/0/12,FIX-AN- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCICU001,Gi0/0/0/8,DP_MRVPXBPZCINC301 Mg0/RP0/CPU0/0,FIX-AN- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCICU001,Gi0/0/0/9,DP_MRVPXBPZCINC302 Mg0/RP0/CPU0/0,FIX-AN- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCICU001,Gi0/0/0/10,DP_MRVPXBPZCINC303 Mg0/RP0/CPU0/0,FIX-AN- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCINC301,,,FIX-NCS1002- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCINC302,,,FIX-NCS1002- Equipment Room/Mariveles/Bataan (120.497391;14.440297)
MRVPXBPZCINC303,,,FIX-NCS1001-Equipment Room/Mariveles/Bataan (120.497391;14.440297)
LEM00Q29CICN001,Hu0/2/0/0,FC_NSBS0051CIBE001 0/0/0/2:LEM00Q29CINC301 0/0/0/5>>ATTI520NSB F145-F146>>ATTI520NSB F157- F158>>NSBPXNSBCINC201 0/0/0/5,FIX-DN-New Smart container Van/Ramon Diokno Highway Mahayahay Lemery/Batangas ()
LEM00Q29CICN001,Hu0/3/2/0,FC_NSBS0051CIBE002 0/0/0/2:LEM00Q29CINC302 0/0/0/5>>ATTI520NSB F149- F150>>ATTI520NSB F161- F162>>NSBPXNSBCINC202 0/0/0/5,FIX-DN-New Smart container Van/Ramon Diokno Highway Mahayahay Lemery/Batangas ()
LEM00Q29CICN002,Hu0/2/0/0,FC_NSBS0051CIBE001 0/7/0/1:LEM00Q29CINC301 0/0/0/12>>ATTI520NSB F147-F148>>ATTI520NSB F159- F160>>NSBPXNSBCINC201 0/0/0/12,FIX-DN-New Smart container Van/Ramon Diokno Highway Mahayahay Lemery/Batangas ()
LEM00Q29CICN002,Hu0/3/2/0,FC_NSBS0051CIBE002 0/7/0/1:LEM00Q29CINC302 0/0/0/12>>ATTI520NSB F151- F152>>ATTI520NSB F163- F164>>NSBPXNSBCINC202 0/0/0/12,FIX-DN-New Smart container Van/Ramon Diokno Highway Mahayahay Lemery/Batangas ()
LEM00Q29CINC301,,,FIX-NCS1002- New Smart container Van/Ramon Diokno Highway Mahayahay Lemery/Batangas ()
LEM00Q29CINC302,,,FIX-NCS1002- New Smart container Van/Ramon Diokno Highway Mahayahay Lemery/Batangas ()
TMSPXTMSCICN001,Hu0/2/0/0,TC_NACS3561CICN001 Hu0/2/0/0: TMSPXTMGEFD002 F5- F6>>NACI512TMS F25- F26>>,FIX-DN-Smart Room/Trece-Indang Rd Bgy San Agustin Trece Martirez City/Cavite (120.868;14.28079422)
TMSPXTMSCICN001,Hu0/3/2/0,FC_KAWS0016CIBE001 Hu0/7/0/11: TMSPXTMSCINC301 0/0/0/5>>CPZI491TMS F31- F32>>CPZI348RSC F117- F118>>BNKI347RSC F49- F50>>DFON ROOM(BNKGEFD055) - TELEHOUSING>> ROOM(BNKGEFD054) F105- F106>>KAWPXBNKCINC201 0/0/0/12,FIX-DN-Smart Room/Trece-Indang Rd Bgy San Agustin Trece Martirez City/Cavite (120.868;14.28079422)
TMSPXTMSCICN002,Hu0/2/0/0,FC_KAWS0016CIBE002 Hu0/0/0/11:TMSPXTMSCINC302 0/0/0/5>> CPZI491TMS F33- F34>>CPZI348RSC F119- F120>>BNKI347RSC F51- F52>>DFON ROOM(BNKGEFD055) - TELEHOUSING ROOM(BNKGEFD054) F117- F11>>KAWPXBNKCINC202 0/0/0/12,FIX-DN-Smart Room/Trece-Indang Rd Bgy San Agustin Trece Martirez City/Cavite (120.868;14.28079422)
TMSPXTMSCICN002,Hu0/3/2/0,TC_NACS3561CICN002 Hu0/3/2/0:TMSPXTMGEFD002 F7- F8>>NACI512TMS F27- F28,FIX-DN-Smart Room/Trece-Indang Rd Bgy San Agustin Trece Martirez City/Cavite (120.868;14.28079422)
TMSPXTMSCINC301,,,FIX-NCS1002-Smart Room/Trece-Indang Rd Bgy San Agustin Trece Martirez City/Cavite (120.868;14.28079422)
